default.parsedtable.col_1,default.parsedtable.col_2,default.parsedtable.col_3,default.parsedtable.col_4,default.parsedtable.col_5,default.parsedtable.col_6,default.parsedtable.col_7,default.parsedtable.col_8,default.parsedtable.col_9,default.parsedtable.col_10,default.parsedtable.col_11,default.parsedtable.col_12,default.parsedtable.col_13,default.parsedtable.col_14,default.parsedtable.col_15,default.parsedtable.col_16,default.parsedtable.col_17,default.parsedtable.col_18,default.parsedtable.col_19
,Name,AltaaVistaaBusinessSolutionsPrivateLimited,Locations,"Bengaluru/Bangalore,Chennai",Experience,7-15years,Keywords/Skills,"Agile,Scrum,ExtremeProgramming-ContinuousIntegration?""(Anyone-Jenkins,Hudson,CruseControl,Bamboo)TDD?""Junit/Nunit",Education,B.E/B.TechFunctionIT,Role,OtherSoftware/Hardware/EDP-AgileXPCoachIndustryIT/Computers-Software,PostedOn,3rdFeb2015,JobRefcode,AgileXPCoach/AVPL/01,,
,Name,AltaaVistaaBusinessSolutionsPrivateLimited,Locations,Pune,Experience,2-4years,Keywords/Skills,"BITechnical,PentahoETL,HealthcareandDatabaseknowledge",Role,OtherRolesIndustryAny,PostedOn,31stJan2015,,,,,,
,Name,AltaaVistaaBusinessSolutionsPrivateLimited,Locations,Pune,Nationality,India,Experience,1-3years,Keywords/Skills,"Leadgeneration,ChannelSales,ITHardware,ITinfrastructure&NetworkingSolutions.",Education,AnygraduateFunctionSales/BusinessDevelopment,Role,SalesExec/SalesRepresentativeIndustryIT/Computers-Hardware,PostedOn,19thJan2015,JobRefcode,AVPL/Sales/02
,Name,BA-DataSolutions,Locations,Chandigarh,Nationality,"India,UnitedStates",Experience,1-3years,Keywords/Skills,"marketing,sales,""internationalsales"",""ussales"",""InternationalMarketing"",""InternationalBusinessManager"",",Education,AnygraduateFunctionMarketing&Communications,Role,MarketingExecutiveIndustryIT/Computers-Software,PostedOn,28thJan2015,JobRefcode,102
,Name,BA-DataSolutions,Locations,Chandigarh,Nationality,"India,UnitedStates",Experience,1-4years,Keywords/Skills,"Sales,BPO,Marketing,""UScalling"",""UKcalling"",""InternationalSales"",""coldcalling"",""LeadGeneration"",""OutboundCalling""",Education,AnygraduateFunctionSales/BusinessDevelopment,Role,SalesExec/SalesRepresentativeIndustryIT/Computers-SoftwarePrinting/Packaging,PostedOn,27thJan2015,JobRefcode,101
,Name,BackboneBusinessSolutionsPrivateLimited,Locations,Jamnagar,Experience,10-15years,Keywords/Skills,"steameragencyoperations,LiaisonwithCustoms,DailyBerthingmeetings,VesselBoardingformalities,VesselSailingformalities",Role,OtherRoles-BranchManagerIndustryShipping/MarineServices,PostedOn,16thMar2015,,,,,,
,Name,BackboneBusinessSolutionsPrivateLimited,Locations,Ahmedabad,Experience,0-3years,Keywords/Skills,"Recruitment,headhunting,clientservicing,FunctionHumanResources",Role,HRExecutive/RecruiterIndustryConsultancy,PostedOn,13thFeb2015,,,,,,
,Name,BackboneBusinessSolutionsPrivateLimited,Locations,Ahmedabad,Experience,5-10years,Keywords/Skills,"yarn,sales,marketing,businessdevelopment,textile",Education,B.E/B.TechFunctionSales/BusinessDevelopment,Role,ChannelSalesManagerIndustryTextiles/Yarn/Fabrics/Garments,PostedOn,31stJan2015,,,,
,Name,BackboneBusinessSolutionsPrivateLimited,Locations,Ahmedabad,Experience,5-9years,Keywords/Skills,"textilemachineryspares""salesandsupport""""Spares/SupporttomachinerySales""",Education,B.E/B.TechFunctionSales/BusinessDevelopment,Role,SalesExec/SalesRepresentativeIndustryTextiles/Yarn/Fabrics/Garments,PostedOn,31stJan2015,,,,
,Name,DRKnowledgematicSolutionsPrivateLimited,Locations,Hyderabad/Secunderabad,Nationality,India,Experience,0-2years,Keywords/Skills,"customercareExecutive,VoiceProcess",Education,"B.A,B.B.A,BCA,B.Com,B.ScFunctionCustomerService/CallCentre/BPO",Role,TechnicalSupportExecutive(voice)IndustryITES/BPO,PostedOn,16thMar2015,,
